variant,request_id,uncapped,min_balance,safe,true_safe,error,norm_error,earliest,true_earliest,date_match,amount_improved,amount_regressed,date_gained,date_lost
mean/all/calendar,request_10,True,257926.85,32526.85,12700.0,19826.85,0.07434139482564679,,,True,False,True,False,False
mean/all/calendar,request_11,True,46460466.62,12319866.62,12510645.0,-190778.38,-0.014552126620900139,2025-05-15,2025-07-15,False,False,False,False,False
mean/all/calendar,request_12,False,115362.23,65164.0,65164.0,0.0,0.0,2026-04-05,2026-04-05,True,True,False,True,False
mean/all/calendar,request_13,True,1790.78,490.78,433.4,57.38,0.060938827527612566,2024-05-15,2024-05-15,True,False,False,True,False
mean/all/calendar,request_14,True,2816.29,616.29,597.74,18.55,0.003426175612278814,,,True,False,False,False,False
mean/all/calendar,request_15,True,1205.08,5.08,83.05,-77.97,-0.02115875169606513,,,True,False,False,False,False
mean/all/calendar,request_16,False,261510.89,122500.0,122500.0,0.0,0.0,2023-08-12,2023-08-12,True,False,False,False,False
mean/all/calendar,request_17,True,409123.67,243023.67,243849.58,-825.91,-0.003007683903860067,2026-04-15,2026-03-15,False,False,False,False,False
mean/all/calendar,request_18,True,1946.05,546.05,462.0,84.05,0.02589260959305011,2026-09-15,2026-09-15,True,False,False,False,False
mean/all/calendar,request_19,True,117976.15,25176.15,28820.0,-3643.85,-0.09187720625315175,2024-09-15,2024-09-15,True,False,False,False,False
mean/all/calendar,request_20,True,73351.68,8851.68,5400.0,3451.68,0.011365426407639118,,,True,False,False,False,False
mean/all/calendar,request_21,True,3473.13,1574.4,1543.35,31.05,0.01972179878048792,2026-04-03,2026-04-15,False,False,False,False,False
mean/all/calendar,request_22,True,964.62,464.62,475.46,-10.84,-0.014818865345181101,2025-01-15,2025-01-15,True,False,False,False,False
mean/all/calendar,request_23,True,35360.17,8360.17,9152.0,-791.83,-0.02082886153198653,2025-07-15,2025-07-15,True,False,False,False,False
mean/all/calendar,request_24,True,64539.29,13539.29,13420.0,119.29,0.001088412408759132,,,True,False,False,False,False
mean/all/calendar,request_25,True,23755183.4,376083.4,1425000.0,-1048916.6,-0.017338610817244117,,,True,False,False,False,False
median/all/90dates,request_01,False,48320.87,25256.0,25256.0,0.0,0.0,2024-03-03,2024-03-03,True,False,False,False,False
median/all/90dates,request_02,True,47359323.11,18200923.11,17229139.2,971783.91,0.021117473814594293,2025-09-15,2025-09-15,True,True,False,False,False
median/all/90dates,request_03,True,3641281.91,972581.91,873000.0,99581.91,0.018135478054999096,2019-11-15,2019-11-15,True,False,True,False,False
median/all/90dates,request_04,True,41228918.03,10542318.03,8401800.0,2140518.03,0.16863767667218146,2024-06-15,2024-06-15,True,True,False,False,False
median/all/90dates,request_05,True,8188.49,0,737.0,-737.0,-0.04758522727272727,,,True,False,False,False,False
median/all/90dates,request_06,True,1317.36,517.36,603.3,-85.94,-0.13852353320438418,2026-01-15,2026-01-15,True,False,True,False,False
median/all/90dates,request_07,True,178501.13,85501.13,87170.56,-1669.43,-0.008457092198581526,2024-10-23,2024-10-23,True,False,True,False,False
median/all/90dates,request_08,True,1091.12,291.12,284.57,6.55,0.006572345976319498,,2025-04-15,False,False,True,False,False
median/all/90dates,request_09,False,825.19,166.61,166.61,0.0,0.0,2026-07-04,2026-07-04,True,False,False,False,False
median/all/90dates,request_10,True,191872.07,0,12700.0,-12700.0,-0.047619047619047616,,,True,False,False,False,False
median/all/90dates,request_11,True,46262175.11,12121575.11,12510645.0,-389069.89,-0.02967733714721591,2025-05-15,2025-07-15,False,False,True,False,False
median/all/90dates,request_12,False,101972.08,58772.08,65164.0,-6391.92,-0.09808974280277451,,2026-04-05,False,False,True,False,False
median/all/90dates,request_13,True,1793.9,493.9,433.4,60.5,0.06425233644859812,,2024-05-15,False,False,True,False,False
median/all/90dates,request_14,True,2828.22,628.22,597.74,30.48,0.005629640574784828,,,True,False,True,False,False
median/all/90dates,request_15,True,1206.54,6.54,83.05,-76.51,-0.020762550881953865,,,True,True,False,False,False
median/all/90dates,request_16,False,262400.97,122500.0,122500.0,0.0,0.0,2023-08-12,2023-08-12,True,False,False,False,False
median/all/90dates,request_17,True,409854.81,243754.81,243849.58,-94.77,-0.00034512017479967054,2026-03-15,2026-03-15,True,True,False,True,False
median/all/90dates,request_18,True,1951.03,551.03,462.0,89.03,0.02742675826376266,2026-09-15,2026-09-15,True,False,True,False,False
median/all/90dates,request_19,True,118209.46,25409.46,28820.0,-3410.54,-0.08599445284921838,2024-09-15,2024-09-15,True,True,False,False,False
median/all/90dates,request_20,True,73245.27,8745.27,5400.0,3345.27,0.011015047744484691,,,True,True,False,False,False
median/all/90dates,request_21,True,3475.58,1574.4,1543.35,31.05,0.01972179878048792,2026-04-03,2026-04-15,False,False,False,False,False
median/all/90dates,request_22,True,965.27,465.27,475.46,-10.19,-0.013930280246069716,2025-01-15,2025-01-15,True,True,False,False,False
median/all/90dates,request_23,True,35406.78,8406.78,9152.0,-745.22,-0.019602798821548806,2025-07-15,2025-07-15,True,True,False,False,False
median/all/90dates,request_24,True,64591.52,13591.52,13420.0,171.52,0.001564963503649639,,,True,False,True,False,False
median/all/90dates,request_25,True,23693592.35,314492.35,1425000.0,-1110507.65,-0.018356712014017455,,,True,False,True,False,False
median/all/calendar,request_01,False,48320.87,25256.0,25256.0,0.0,0.0,2024-03-03,2024-03-03,True,False,False,False,False
median/all/calendar,request_02,True,47359323.11,18200923.11,17229139.2,971783.91,0.021117473814594293,2025-09-15,2025-09-15,True,True,False,False,False
median/all/calendar,request_03,True,3641281.91,972581.91,873000.0,99581.91,0.018135478054999096,2019-11-15,2019-11-15,True,False,True,False,False
median/all/calendar,request_04,True,41228918.03,10542318.03,8401800.0,2140518.03,0.16863767667218146,2024-06-15,2024-06-15,True,True,False,False,False
median/all/calendar,request_05,True,13902.07,802.07,737.0,65.07,0.0042013171487603335,,,True,True,False,False,False
median/all/calendar,request_06,True,1317.36,517.36,603.3,-85.94,-0.13852353320438418,2026-01-15,2026-01-15,True,False,True,False,False
median/all/calendar,request_07,True,178501.13,85501.13,87170.56,-1669.43,-0.008457092198581526,2024-10-23,2024-10-23,True,False,True,False,False
median/all/calendar,request_08,True,1091.12,291.12,284.57,6.55,0.006572345976319498,2025-04-15,2025-04-15,True,False,True,True,False
median/all/calendar,request_09,False,825.19,166.61,166.61,0.0,0.0,2026-07-04,2026-07-04,True,False,False,False,False
median/all/calendar,request_10,True,260972.07,35572.07,12700.0,22872.07,0.08575954255718035,,,True,False,True,False,False
median/all/calendar,request_11,True,46262175.11,12121575.11,12510645.0,-389069.89,-0.02967733714721591,2025-05-15,2025-07-15,False,False,True,False,False
median/all/calendar,request_12,False,113764.08,65164.0,65164.0,0.0,0.0,2026-04-05,2026-04-05,True,True,False,True,False
median/all/calendar,request_13,True,1793.9,493.9,433.4,60.5,0.06425233644859812,2024-05-15,2024-05-15,True,False,True,True,False
median/all/calendar,request_14,True,2828.22,628.22,597.74,30.48,0.005629640574784828,,,True,False,True,False,False
median/all/calendar,request_15,True,1206.54,6.54,83.05,-76.51,-0.020762550881953865,,,True,True,False,False,False
median/all/calendar,request_16,False,262400.97,122500.0,122500.0,0.0,0.0,2023-08-12,2023-08-12,True,False,False,False,False
median/all/calendar,request_17,True,409854.81,243754.81,243849.58,-94.77,-0.00034512017479967054,2026-03-15,2026-03-15,True,True,False,True,False
median/all/calendar,request_18,True,1951.03,551.03,462.0,89.03,0.02742675826376266,2026-09-15,2026-09-15,True,False,True,False,False
median/all/calendar,request_19,True,118209.46,25409.46,28820.0,-3410.54,-0.08599445284921838,2024-09-15,2024-09-15,True,True,False,False,False
median/all/calendar,request_20,True,73245.27,8745.27,5400.0,3345.27,0.011015047744484691,,,True,True,False,False,False
median/all/calendar,request_21,True,3475.58,1574.4,1543.35,31.05,0.01972179878048792,2026-04-03,2026-04-15,False,False,False,False,False
median/all/calendar,request_22,True,965.27,465.27,475.46,-10.19,-0.013930280246069716,2025-01-15,2025-01-15,True,True,False,False,False
median/all/calendar,request_23,True,35406.78,8406.78,9152.0,-745.22,-0.019602798821548806,2025-07-15,2025-07-15,True,True,False,False,False
median/all/calendar,request_24,True,64591.52,13591.52,13420.0,171.52,0.001564963503649639,,,True,False,True,False,False
median/all/calendar,request_25,True,23693592.35,314492.35,1425000.0,-1110507.65,-0.018356712014017455,,,True,False,True,False,False
trimmed20/all/90dates,request_01,False,48257.43,25256.0,25256.0,0.0,0.0,2024-03-03,2024-03-03,True,False,False,False,False
trimmed20/all/90dates,request_02,True,47463403.59,18305003.59,17229139.2,1075864.39,0.023379207918640545,2025-09-15,2025-09-15,True,True,False,False,False
trimmed20/all/90dates,request_03,True,3638722.37,970022.37,873000.0,97022.37,0.017669344381715534,2019-11-15,2019-11-15,True,True,False,False,False
trimmed20/all/90dates,request_04,True,41244838.26,10558238.26,8401800.0,2156438.26,0.16989192940991096,2024-06-15,2024-06-15,True,True,False,False,False
trimmed20/all/90dates,request_05,True,8362.32,0,737.0,-737.0,-0.04758522727272727,,,True,False,False,False,False
trimmed20/all/90dates,request_06,True,1322.35,522.35,603.3,-80.95,-0.1304803352675692,2026-01-15,2026-01-15,True,False,True,False,False
trimmed20/all/90dates,request_07,True,179056.47,86056.47,87170.56,-1114.09,-0.005643819655521766,2024-10-23,2024-10-23,True,False,True,False,False
trimmed20/all/90dates,request_08,True,1086.66,286.66,284.57,2.09,0.002097130242825639,,2025-04-15,False,False,True,False,False
trimmed20/all/90dates,request_09,False,837.73,166.61,166.61,0.0,0.0,2026-07-04,2026-07-04,True,False,False,False,False
trimmed20/all/90dates,request_10,True,187135.61,0,12700.0,-12700.0,-0.047619047619047616,,,True,False,False,False,False
trimmed20/all/90dates,request_11,True,46384713.55,12244113.55,12510645.0,-266531.45,-0.020330392829900783,2025-05-15,2025-07-15,False,False,True,False,False
trimmed20/all/90dates,request_12,False,103158.66,59958.66,65164.0,-5205.34,-0.07988060892517336,,2026-04-05,False,False,True,False,False
trimmed20/all/90dates,request_13,True,1800.08,500.08,433.4,66.68,0.07081563296516569,,2024-05-15,False,False,True,False,False
trimmed20/all/90dates,request_14,True,2820.56,620.56,597.74,22.82,0.004214842451331672,,,True,False,True,False,False
trimmed20/all/90dates,request_15,True,1207.47,7.47,83.05,-75.58,-0.020510176390773405,,,True,True,False,False,False
trimmed20/all/90dates,request_16,False,261419.65,122500.0,122500.0,0.0,0.0,2023-08-12,2023-08-12,True,False,False,False,False
trimmed20/all/90dates,request_17,True,408937.58,242837.58,243849.58,-1012.0,-0.003685360524399126,2026-04-15,2026-03-15,False,False,True,False,False
trimmed20/all/90dates,request_18,True,1946.22,546.22,462.0,84.22,0.025944980130002165,2026-09-15,2026-09-15,True,False,True,False,False
trimmed20/all/90dates,request_19,True,118067.91,25267.91,28820.0,-3552.09,-0.08956354009077157,2024-09-15,2024-09-15,True,True,False,False,False
trimmed20/all/90dates,request_20,True,73331.24,8831.24,5400.0,3431.24,0.011298123147843266,,,True,True,False,False,False
trimmed20/all/90dates,request_21,True,3474.31,1574.4,1543.35,31.05,0.01972179878048792,2026-04-03,2026-04-15,False,False,False,False,False
trimmed20/all/90dates,request_22,True,964.55,464.55,475.46,-10.91,-0.014914559125085398,2025-01-15,2025-01-15,True,False,True,False,False
trimmed20/all/90dates,request_23,True,35368.74,8368.74,9152.0,-783.26,-0.02060343013468014,2025-07-15,2025-07-15,True,True,False,False,False
trimmed20/all/90dates,request_24,True,64578.12,13578.12,13420.0,158.12,0.0014427007299270145,,,True,False,True,False,False
trimmed20/all/90dates,request_25,True,23724904.49,345804.49,1425000.0,-1079195.51,-0.017839121760116372,,,True,False,True,False,False
trimmed20/all/calendar,request_01,False,48257.43,25256.0,25256.0,0.0,0.0,2024-03-03,2024-03-03,True,False,False,False,False
trimmed20/all/calendar,request_02,True,47463403.59,18305003.59,17229139.2,1075864.39,0.023379207918640545,2025-09-15,2025-09-15,True,True,False,False,False
trimmed20/all/calendar,request_03,True,3638722.37,970022.37,873000.0,97022.37,0.017669344381715534,2019-11-15,2019-11-15,True,True,False,False,False
trimmed20/all/calendar,request_04,True,41244838.26,10558238.26,8401800.0,2156438.26,0.16989192940991096,2024-06-15,2024-06-15,True,True,False,False,False
trimmed20/all/calendar,request_05,True,14071.21,971.21,737.0,234.21,0.015122029958677688,,,True,True,False,False,False
trimmed20/all/calendar,request_06,True,1322.35,522.35,603.3,-80.95,-0.1304803352675692,2026-01-15,2026-01-15,True,False,True,False,False
trimmed20/all/calendar,request_07,True,179056.47,86056.47,87170.56,-1114.09,-0.005643819655521766,2024-10-23,2024-10-23,True,False,True,False,False
trimmed20/all/calendar,request_08,True,1086.66,286.66,284.57,2.09,0.002097130242825639,2025-04-15,2025-04-15,True,False,True,True,False
trimmed20/all/calendar,request_09,False,837.73,166.61,166.61,0.0,0.0,2026-07-04,2026-07-04,True,False,False,False,False
trimmed20/all/calendar,request_10,True,256235.61,30835.61,12700.0,18135.61,0.06800003749531308,,,True,False,True,False,False
trimmed20/all/calendar,request_11,True,46384713.55,12244113.55,12510645.0,-266531.45,-0.020330392829900783,2025-05-15,2025-07-15,False,False,True,False,False
trimmed20/all/calendar,request_12,False,114950.66,65164.0,65164.0,0.0,0.0,2026-04-05,2026-04-05,True,True,False,True,False
trimmed20/all/calendar,request_13,True,1800.08,500.08,433.4,66.68,0.07081563296516569,2024-05-15,2024-05-15,True,False,True,True,False
trimmed20/all/calendar,request_14,True,2820.56,620.56,597.74,22.82,0.004214842451331672,,,True,False,True,False,False
trimmed20/all/calendar,request_15,True,1207.47,7.47,83.05,-75.58,-0.020510176390773405,,,True,True,False,False,False
trimmed20/all/calendar,request_16,False,261419.65,122500.0,122500.0,0.0,0.0,2023-08-12,2023-08-12,True,False,False,False,False
trimmed20/all/calendar,request_17,True,408937.58,242837.58,243849.58,-1012.0,-0.003685360524399126,2026-04-15,2026-03-15,False,False,True,False,False
trimmed20/all/calendar,request_18,True,1946.22,546.22,462.0,84.22,0.025944980130002165,2026-09-15,2026-09-15,True,False,True,False,False
trimmed20/all/calendar,request_19,True,118067.91,25267.91,28820.0,-3552.09,-0.08956354009077157,2024-09-15,2024-09-15,True,True,False,False,False
trimmed20/all/calendar,request_20,True,73331.24,8831.24,5400.0,3431.24,0.011298123147843266,,,True,True,False,False,False
trimmed20/all/calendar,request_21,True,3474.31,1574.4,1543.35,31.05,0.01972179878048792,2026-04-03,2026-04-15,False,False,False,False,False
trimmed20/all/calendar,request_22,True,964.55,464.55,475.46,-10.91,-0.014914559125085398,2025-01-15,2025-01-15,True,False,True,False,False
trimmed20/all/calendar,request_23,True,35368.74,8368.74,9152.0,-783.26,-0.02060343013468014,2025-07-15,2025-07-15,True,True,False,False,False
trimmed20/all/calendar,request_24,True,64578.12,13578.12,13420.0,158.12,0.0014427007299270145,,,True,False,True,False,False
trimmed20/all/calendar,request_25,True,23724904.49,345804.49,1425000.0,-1079195.51,-0.017839121760116372,,,True,False,True,False,False
winsor20/all/90dates,request_01,False,48248.59,25256.0,25256.0,0.0,0.0,2024-03-03,2024-03-03,True,False,False,False,False
winsor20/all/90dates,request_02,True,47466140.59,18307740.59,17229139.2,1078601.39,0.02343868464513887,2025-09-15,2025-09-15,True,True,False,False,False
winsor20/all/90dates,request_03,True,3638397.39,969697.39,873000.0,96697.39,0.017610160262247317,2019-11-15,2019-11-15,True,True,False,False,False
winsor20/all/90dates,request_04,True,41284377.34,10597777.34,8401800.0,2195977.34,0.17300695974158983,2024-06-15,2024-06-15,True,True,False,False,False
winsor20/all/90dates,request_05,True,8369.18,0,737.0,-737.0,-0.04758522727272727,,,True,False,False,False,False
winsor20/all/90dates,request_06,True,1324.6,524.6,603.3,-78.7,-0.12685364281108952,2026-01-15,2026-01-15,True,True,False,False,False
winsor20/all/90dates,request_07,True,179237.02,86237.02,87170.56,-933.54,-0.0047291793313069585,2024-10-23,2024-10-23,True,False,True,False,False
winsor20/all/90dates,request_08,True,1085.4,285.4,284.57,0.83,0.0008328316275335984,,2025-04-15,False,False,True,False,False
winsor20/all/90dates,request_09,False,840.61,166.61,166.61,0.0,0.0,2026-07-04,2026-07-04,True,False,False,False,False
winsor20/all/90dates,request_10,True,187823.22,0,12700.0,-12700.0,-0.047619047619047616,,,True,False,False,False,False
winsor20/all/90dates,request_11,True,46434579.57,12293979.57,12510645.0,-216665.43,-0.016526729977116683,2025-05-15,2025-07-15,False,False,True,False,False
winsor20/all/90dates,request_12,False,103519.62,60319.62,65164.0,-4844.38,-0.07434135412190776,,2026-04-05,False,False,True,False,False
winsor20/all/90dates,request_13,True,1802.33,502.33,433.4,68.93,0.07320518266779949,,2024-05-15,False,False,True,False,False
winsor20/all/90dates,request_14,True,2817.76,617.76,597.74,20.02,0.0036976838683461977,,,True,False,True,False,False
winsor20/all/90dates,request_15,True,1206.86,6.86,83.05,-76.19,-0.020675712347354137,,,True,True,False,False,False
winsor20/all/90dates,request_16,False,261526.38,122500.0,122500.0,0.0,0.0,2023-08-12,2023-08-12,True,False,False,False,False
winsor20/all/90dates,request_17,True,408973.41,242873.41,243849.58,-976.17,-0.003554879825200232,2026-04-15,2026-03-15,False,False,True,False,False
winsor20/all/90dates,request_18,True,1944.83,544.83,462.0,82.83,0.025516773974923766,2026-09-15,2026-09-15,True,True,False,False,False
winsor20/all/90dates,request_19,True,118057.04,25257.04,28820.0,-3562.96,-0.08983761976802822,2024-09-15,2024-09-15,True,True,False,False,False
winsor20/all/90dates,request_20,True,73374.97,8874.97,5400.0,3474.97,0.011442113928218634,,,True,False,True,False,False
winsor20/all/90dates,request_21,True,3473.8,1574.4,1543.35,31.05,0.01972179878048792,2026-04-03,2026-04-15,False,False,False,False,False
winsor20/all/90dates,request_22,True,964.67,464.67,475.46,-10.79,-0.014750512645249438,2025-01-15,2025-01-15,True,True,False,False,False
winsor20/all/90dates,request_23,True,35338.14,8338.14,9152.0,-813.86,-0.021408354377104394,2025-07-15,2025-07-15,True,False,True,False,False
winsor20/all/90dates,request_24,True,64594.17,13594.17,13420.0,174.17,0.001589142335766424,,,True,False,True,False,False
winsor20/all/90dates,request_25,True,23735116.49,356016.49,1425000.0,-1068983.51,-0.017670317211055275,,,True,False,True,False,False
winsor20/all/calendar,request_01,False,48248.59,25256.0,25256.0,0.0,0.0,2024-03-03,2024-03-03,True,False,False,False,False
winsor20/all/calendar,request_02,True,47466140.59,18307740.59,17229139.2,1078601.39,0.02343868464513887,2025-09-15,2025-09-15,True,True,False,False,False
winsor20/all/calendar,request_03,True,3638397.39,969697.39,873000.0,96697.39,0.017610160262247317,2019-11-15,2019-11-15,True,True,False,False,False
winsor20/all/calendar,request_04,True,41284377.34,10597777.34,8401800.0,2195977.34,0.17300695974158983,2024-06-15,2024-06-15,True,True,False,False,False
winsor20/all/calendar,request_05,True,14078.41,978.41,737.0,241.41,0.015586905991735536,,,True,True,False,False,False
winsor20/all/calendar,request_06,True,1324.6,524.6,603.3,-78.7,-0.12685364281108952,2026-01-15,2026-01-15,True,True,False,False,False
winsor20/all/calendar,request_07,True,179237.02,86237.02,87170.56,-933.54,-0.0047291793313069585,2024-10-23,2024-10-23,True,False,True,False,False
winsor20/all/calendar,request_08,True,1085.4,285.4,284.57,0.83,0.0008328316275335984,2025-04-15,2025-04-15,True,False,True,True,False
winsor20/all/calendar,request_09,False,840.61,166.61,166.61,0.0,0.0,2026-07-04,2026-07-04,True,False,False,False,False
winsor20/all/calendar,request_10,True,256923.22,31523.22,12700.0,18823.22,0.0705782527184102,,,True,False,True,False,False
winsor20/all/calendar,request_11,True,46434579.57,12293979.57,12510645.0,-216665.43,-0.016526729977116683,2025-05-15,2025-07-15,False,False,True,False,False
winsor20/all/calendar,request_12,False,115311.62,65164.0,65164.0,0.0,0.0,2026-04-05,2026-04-05,True,True,False,True,False
winsor20/all/calendar,request_13,True,1802.33,502.33,433.4,68.93,0.07320518266779949,2024-05-15,2024-05-15,True,False,True,True,False
winsor20/all/calendar,request_14,True,2817.76,617.76,597.74,20.02,0.0036976838683461977,,,True,False,True,False,False
winsor20/all/calendar,request_15,True,1206.86,6.86,83.05,-76.19,-0.020675712347354137,,,True,True,False,False,False
winsor20/all/calendar,request_16,False,261526.38,122500.0,122500.0,0.0,0.0,2023-08-12,2023-08-12,True,False,False,False,False
winsor20/all/calendar,request_17,True,408973.41,242873.41,243849.58,-976.17,-0.003554879825200232,2026-04-15,2026-03-15,False,False,True,False,False
winsor20/all/calendar,request_18,True,1944.83,544.83,462.0,82.83,0.025516773974923766,2026-09-15,2026-09-15,True,True,False,False,False
winsor20/all/calendar,request_19,True,118057.04,25257.04,28820.0,-3562.96,-0.08983761976802822,2024-09-15,2024-09-15,True,True,False,False,False
winsor20/all/calendar,request_20,True,73374.97,8874.97,5400.0,3474.97,0.011442113928218634,,,True,False,True,False,False
winsor20/all/calendar,request_21,True,3473.8,1574.4,1543.35,31.05,0.01972179878048792,2026-04-03,2026-04-15,False,False,False,False,False
winsor20/all/calendar,request_22,True,964.67,464.67,475.46,-10.79,-0.014750512645249438,2025-01-15,2025-01-15,True,True,False,False,False
winsor20/all/calendar,request_23,True,35338.14,8338.14,9152.0,-813.86,-0.021408354377104394,2025-07-15,2025-07-15,True,False,True,False,False
winsor20/all/calendar,request_24,True,64594.17,13594.17,13420.0,174.17,0.001589142335766424,,,True,False,True,False,False
winsor20/all/calendar,request_25,True,23735116.49,356016.49,1425000.0,-1068983.51,-0.017670317211055275,,,True,False,True,False,False
mean_sig1/all/90dates,request_01,False,47862.6,25256.0,25256.0,0.0,0.0,2024-03-03,2024-03-03,True,False,False,False,False
mean_sig1/all/90dates,request_02,True,47190839.2,18032439.2,17229139.2,803300.0,0.017456212786301013,2025-09-15,2025-09-15,True,True,False,False,False
mean_sig1/all/90dates,request_03,True,3636600.0,967900.0,873000.0,94900.0,0.017282826443270807,2019-11-15,2019-11-15,True,True,False,False,False
mean_sig1/all/90dates,request_04,True,41965100.0,11278500.0,8401800.0,2876700.0,0.22663672890569606,2024-06-15,2024-06-15,True,False,True,False,False
mean_sig1/all/90dates,request_05,True,8894.0,0,737.0,-737.0,-0.04758522727272727,,,True,False,False,False,False
mean_sig1/all/90dates,request_06,True,1298.3,498.3,603.3,-105.0,-0.16924564796905214,2026-02-15,2026-01-15,False,False,True,False,True
mean_sig1/all/90dates,request_07,True,179290.56,86290.56,87170.56,-880.0,-0.004457953394123607,2024-10-23,2024-10-23,True,True,False,False,False
mean_sig1/all/90dates,request_08,True,1082.57,282.57,284.57,-2.0,-0.002006823198876179,,2025-04-15,False,False,True,False,False
mean_sig1/all/90dates,request_09,False,903.7,166.61,166.61,0.0,0.0,2026-07-04,2026-07-04,True,False,False,False,False
mean_sig1/all/90dates,request_10,True,187190.0,0,12700.0,-12700.0,-0.047619047619047616,,,True,False,False,False,False
mean_sig1/all/90dates,request_11,True,46984045.0,12843445.0,12510645.0,332800.0,0.025385202135774217,2025-05-15,2025-07-15,False,False,True,False,False
mean_sig1/all/90dates,request_12,False,106856.39,63656.39,65164.0,-1507.61,-0.023135627033331295,,2026-04-05,False,True,False,False,False
mean_sig1/all/90dates,request_13,True,1948.4,648.4,433.4,215.0,0.22833474936278675,,2024-05-15,False,False,True,False,False
mean_sig1/all/90dates,request_14,True,2901.74,701.74,597.74,104.0,0.01920874736803221,,,True,False,True,False,False
