candidate,request_id,currency,min_balance,min_date,predicted_safe,true_safe,safe_error,predicted_earliest,true_earliest,date_match
event_date_without_messages,request_19,INR,117976.15,2024-09-14,25176.15,28820.0,-3643.85,2024-09-15,2024-09-15,True
event_date_without_messages,request_20,INR,73351.68,2026-02-13,8851.68,5400.0,3451.68,,,True
event_date_without_messages,request_21,USD,3473.13,2026-04-12,1574.4,1543.35,31.05,2026-04-03,2026-04-15,False
event_date_without_messages,request_22,EUR,964.62,2024-12-14,464.62,475.46,-10.84,2025-01-15,2025-01-15,True
event_date_without_messages,request_23,ZAR,35360.17,2025-05-14,8360.17,9152.0,-791.83,2025-07-15,2025-07-15,True
event_date_without_messages,request_24,INR,64539.29,2026-01-13,13539.29,13420.0,119.29,,,True
event_date_without_messages,request_25,IDR,23755183.4,2024-03-14,376083.4,1425000.0,-1048916.6,,,True
settlement_without_messages,request_01,ZAR,48241.27,2024-03-13,25256.0,25256.0,0.0,2024-03-03,2024-03-03,True
settlement_without_messages,request_02,IDR,47495165.49,2025-08-13,18336765.49,17229139.2,1107626.29,2025-10-15,2025-09-15,False
settlement_without_messages,request_03,IDR,3640437.0,2019-09-14,971737.0,873000.0,98737.0,2019-11-15,2019-11-15,True
settlement_without_messages,request_04,IDR,41295886.07,2024-06-13,10609286.07,8401800.0,2207486.07,2024-06-15,2024-06-15,True
settlement_without_messages,request_05,ZAR,8575.15,2026-02-03,0,737.0,-737.0,,,True
settlement_without_messages,request_06,EUR,1323.82,2026-01-13,523.82,603.3,-79.48,2026-01-15,2026-01-15,True
settlement_without_messages,request_07,INR,179237.22,2024-09-20,86237.22,87170.56,-933.34,2024-10-23,2024-10-23,True
settlement_without_messages,request_08,EUR,-309.64,2025-05-07,0,284.57,-284.57,,2025-04-15,False
settlement_without_messages,request_09,EUR,841.96,2026-09-25,166.61,166.61,0.0,2026-07-04,2026-07-04,True
settlement_without_messages,request_10,INR,188826.85,2025-03-03,0,12700.0,-12700.0,,,True
settlement_without_messages,request_11,IDR,46460466.62,2025-05-14,12319866.62,12510645.0,-190778.38,2025-06-15,2025-07-15,False
settlement_without_messages,request_12,ZAR,103570.23,2026-07-01,60370.23,65164.0,-4793.77,,2026-04-05,False
settlement_without_messages,request_13,EUR,1790.78,2024-05-14,490.78,433.4,57.38,,2024-05-15,False
settlement_without_messages,request_14,EUR,2816.29,2025-08-14,616.29,597.74,18.55,,,True
settlement_without_messages,request_15,EUR,1205.08,2026-01-14,5.08,83.05,-77.97,,,True
settlement_without_messages,request_16,INR,268362.89,2023-09-14,122500.0,122500.0,0.0,2023-08-12,2023-08-12,True
settlement_without_messages,request_17,INR,409123.67,2026-03-14,243023.67,243849.58,-825.91,2026-04-15,2026-03-15,False
settlement_without_messages,request_18,EUR,1946.05,2026-07-14,546.05,462.0,84.05,2026-09-15,2026-09-15,True
settlement_without_messages,request_19,INR,117976.15,2024-09-14,25176.15,28820.0,-3643.85,2024-09-15,2024-09-15,True
settlement_without_messages,request_20,INR,73351.68,2026-02-13,8851.68,5400.0,3451.68,,,True
settlement_without_messages,request_21,USD,3473.13,2026-04-12,1574.4,1543.35,31.05,2026-04-03,2026-04-15,False
settlement_without_messages,request_22,EUR,964.62,2024-12-14,464.62,475.46,-10.84,2025-01-15,2025-01-15,True
settlement_without_messages,request_23,ZAR,35360.17,2025-05-14,8360.17,9152.0,-791.83,2025-07-15,2025-07-15,True
settlement_without_messages,request_24,INR,64539.29,2026-01-13,13539.29,13420.0,119.29,,,True
settlement_without_messages,request_25,IDR,23755183.4,2024-03-14,376083.4,1425000.0,-1048916.6,,,True
one_cycle_salary_delay,request_01,ZAR,48241.27,2024-03-13,25256.0,25256.0,0.0,2024-03-03,2024-03-03,True
one_cycle_salary_delay,request_02,IDR,47495165.49,2025-08-13,18336765.49,17229139.2,1107626.29,2025-09-15,2025-09-15,True
one_cycle_salary_delay,request_03,IDR,3640437.0,2019-09-14,971737.0,873000.0,98737.0,2019-11-15,2019-11-15,True
one_cycle_salary_delay,request_04,IDR,41295886.07,2024-06-13,10609286.07,8401800.0,2207486.07,2024-06-15,2024-06-15,True
one_cycle_salary_delay,request_05,ZAR,8575.15,2026-02-03,0,737.0,-737.0,,,True
one_cycle_salary_delay,request_06,EUR,1323.82,2026-01-13,523.82,603.3,-79.48,2026-01-15,2026-01-15,True
one_cycle_salary_delay,request_07,INR,179237.22,2024-09-20,86237.22,87170.56,-933.34,2024-10-15,2024-10-23,False
one_cycle_salary_delay,request_08,EUR,1085.2,2025-02-13,285.2,284.57,0.63,,2025-04-15,False
one_cycle_salary_delay,request_09,EUR,841.96,2026-09-25,166.61,166.61,0.0,2026-07-04,2026-07-04,True
one_cycle_salary_delay,request_10,INR,188826.85,2025-03-03,0,12700.0,-12700.0,,,True
one_cycle_salary_delay,request_11,IDR,46460466.62,2025-05-14,12319866.62,12510645.0,-190778.38,2025-05-15,2025-07-15,False
one_cycle_salary_delay,request_12,ZAR,103570.23,2026-07-01,60370.23,65164.0,-4793.77,,2026-04-05,False
one_cycle_salary_delay,request_13,EUR,1790.78,2024-05-14,490.78,433.4,57.38,,2024-05-15,False
one_cycle_salary_delay,request_14,EUR,2816.29,2025-08-14,616.29,597.74,18.55,,,True
one_cycle_salary_delay,request_15,EUR,1205.08,2026-01-14,5.08,83.05,-77.97,,,True
one_cycle_salary_delay,request_16,INR,261510.89,2023-09-14,122500.0,122500.0,0.0,2023-08-12,2023-08-12,True
one_cycle_salary_delay,request_17,INR,409123.67,2026-03-14,243023.67,243849.58,-825.91,2026-04-15,2026-03-15,False
one_cycle_salary_delay,request_18,EUR,1946.05,2026-07-14,546.05,462.0,84.05,2026-09-15,2026-09-15,True
one_cycle_salary_delay,request_19,INR,117976.15,2024-09-14,25176.15,28820.0,-3643.85,2024-09-15,2024-09-15,True
one_cycle_salary_delay,request_20,INR,73351.68,2026-02-13,8851.68,5400.0,3451.68,,,True
one_cycle_salary_delay,request_21,USD,3473.13,2026-04-12,1574.4,1543.35,31.05,2026-04-03,2026-04-15,False
one_cycle_salary_delay,request_22,EUR,964.62,2024-12-14,464.62,475.46,-10.84,2025-01-15,2025-01-15,True
one_cycle_salary_delay,request_23,ZAR,35360.17,2025-05-14,8360.17,9152.0,-791.83,2025-07-15,2025-07-15,True
one_cycle_salary_delay,request_24,INR,64539.29,2026-01-13,13539.29,13420.0,119.29,,,True
one_cycle_salary_delay,request_25,IDR,23755183.4,2024-03-14,376083.4,1425000.0,-1048916.6,,,True
all_salary_category_recurs,request_01,ZAR,48241.27,2024-03-13,25256.0,25256.0,0.0,2024-03-03,2024-03-03,True
all_salary_category_recurs,request_02,IDR,47495165.49,2025-08-13,18336765.49,17229139.2,1107626.29,2025-10-15,2025-09-15,False
all_salary_category_recurs,request_03,IDR,3163066.36,2019-09-28,494366.36,873000.0,-378633.64,2019-11-30,2019-11-15,False
all_salary_category_recurs,request_04,IDR,41295886.07,2024-06-13,10609286.07,8401800.0,2207486.07,2024-06-15,2024-06-15,True
all_salary_category_recurs,request_05,ZAR,41633.79,2025-11-13,15488.0,737.0,14751.0,2025-11-06,,False
all_salary_category_recurs,request_06,EUR,1323.82,2026-01-13,523.82,603.3,-79.48,2026-01-15,2026-01-15,True
all_salary_category_recurs,request_07,INR,179237.22,2024-09-20,86237.22,87170.56,-933.34,2024-10-23,2024-10-23,True
all_salary_category_recurs,request_08,EUR,-309.64,2025-05-07,0,284.57,-284.57,,2025-04-15,False
all_salary_category_recurs,request_09,EUR,1609.43,2026-09-19,166.61,166.61,0.0,2026-07-04,2026-07-04,True
all_salary_category_recurs,request_10,INR,293306.45,2025-03-03,67906.45,12700.0,55206.45,,,True
all_salary_category_recurs,request_11,IDR,12800075.24,2025-07-20,0,12510645.0,-12510645.0,,2025-07-15,False
all_salary_category_recurs,request_12,ZAR,184236.89,2026-04-11,65164.0,65164.0,0.0,2026-04-05,2026-04-05,True
all_salary_category_recurs,request_13,EUR,1790.78,2024-05-14,490.78,433.4,57.38,,2024-05-15,False
all_salary_category_recurs,request_14,EUR,2816.29,2025-08-14,616.29,597.74,18.55,,,True
all_salary_category_recurs,request_15,EUR,1205.08,2026-01-14,5.08,83.05,-77.97,,,True
all_salary_category_recurs,request_16,INR,268362.89,2023-09-14,122500.0,122500.0,0.0,2023-08-12,2023-08-12,True
all_salary_category_recurs,request_17,INR,409123.67,2026-03-14,243023.67,243849.58,-825.91,2026-04-15,2026-03-15,False
all_salary_category_recurs,request_18,EUR,1946.05,2026-07-14,546.05,462.0,84.05,2026-09-15,2026-09-15,True
all_salary_category_recurs,request_19,INR,117976.15,2024-09-14,25176.15,28820.0,-3643.85,2024-09-15,2024-09-15,True
all_salary_category_recurs,request_20,INR,73351.68,2026-02-13,8851.68,5400.0,3451.68,,,True
all_salary_category_recurs,request_21,USD,3473.13,2026-04-12,1574.4,1543.35,31.05,2026-04-03,2026-04-15,False
all_salary_category_recurs,request_22,EUR,964.62,2024-12-14,464.62,475.46,-10.84,2025-01-15,2025-01-15,True
all_salary_category_recurs,request_23,ZAR,35360.17,2025-05-14,8360.17,9152.0,-791.83,2025-07-15,2025-07-15,True
all_salary_category_recurs,request_24,INR,64539.29,2026-01-13,13539.29,13420.0,119.29,,,True
all_salary_category_recurs,request_25,IDR,23755183.4,2024-03-14,376083.4,1425000.0,-1048916.6,,,True
salary_history_mean,request_01,ZAR,43998.05,2024-05-13,25256.0,25256.0,0.0,2024-03-03,2024-03-03,True
salary_history_mean,request_02,IDR,47495165.49,2025-08-13,18336765.49,17229139.2,1107626.29,2025-09-15,2025-09-15,True
salary_history_mean,request_03,IDR,3640437.0,2019-09-14,971737.0,873000.0,98737.0,2019-11-15,2019-11-15,True
salary_history_mean,request_04,IDR,41295886.07,2024-06-13,10609286.07,8401800.0,2207486.07,2024-06-15,2024-06-15,True
salary_history_mean,request_05,ZAR,8575.15,2026-02-03,0,737.0,-737.0,,,True
salary_history_mean,request_06,EUR,1323.82,2026-01-13,523.82,603.3,-79.48,2026-01-15,2026-01-15,True
salary_history_mean,request_07,INR,179237.22,2024-09-20,86237.22,87170.56,-933.34,2024-10-23,2024-10-23,True
salary_history_mean,request_08,EUR,1085.2,2025-02-13,285.2,284.57,0.63,,2025-04-15,False
salary_history_mean,request_09,EUR,841.96,2026-09-25,166.61,166.61,0.0,2026-07-04,2026-07-04,True
salary_history_mean,request_10,INR,188826.85,2025-03-03,0,12700.0,-12700.0,,,True
salary_history_mean,request_11,IDR,46460466.62,2025-05-14,12319866.62,12510645.0,-190778.38,2025-05-15,2025-07-15,False
salary_history_mean,request_12,ZAR,103570.23,2026-07-01,60370.23,65164.0,-4793.77,,2026-04-05,False
salary_history_mean,request_13,EUR,1790.78,2024-05-14,490.78,433.4,57.38,,2024-05-15,False
salary_history_mean,request_14,EUR,2816.29,2025-08-14,616.29,597.74,18.55,,,True
salary_history_mean,request_15,EUR,1205.08,2026-01-14,5.08,83.05,-77.97,,,True
salary_history_mean,request_16,INR,261510.89,2023-09-14,122500.0,122500.0,0.0,2023-08-12,2023-08-12,True
salary_history_mean,request_17,INR,409123.67,2026-03-14,243023.67,243849.58,-825.91,2026-04-15,2026-03-15,False
salary_history_mean,request_18,EUR,1946.05,2026-07-14,546.05,462.0,84.05,2026-09-15,2026-09-15,True
salary_history_mean,request_19,INR,117976.15,2024-09-14,25176.15,28820.0,-3643.85,2024-09-15,2024-09-15,True
salary_history_mean,request_20,INR,73351.68,2026-02-13,8851.68,5400.0,3451.68,,,True
salary_history_mean,request_21,USD,3473.13,2026-04-12,1574.4,1543.35,31.05,2026-04-03,2026-04-15,False
salary_history_mean,request_22,EUR,964.62,2024-12-14,464.62,475.46,-10.84,2025-01-15,2025-01-15,True
salary_history_mean,request_23,ZAR,35360.17,2025-05-14,8360.17,9152.0,-791.83,2025-07-15,2025-07-15,True
salary_history_mean,request_24,INR,64539.29,2026-01-13,13539.29,13420.0,119.29,,,True
salary_history_mean,request_25,IDR,23755183.4,2024-03-14,376083.4,1425000.0,-1048916.6,,,True
image_purchases_in_history,request_01,ZAR,48241.27,2024-03-13,25256.0,25256.0,0.0,2024-03-03,2024-03-03,True
image_purchases_in_history,request_02,IDR,47495165.49,2025-08-13,18336765.49,17229139.2,1107626.29,2025-09-15,2025-09-15,True
image_purchases_in_history,request_03,IDR,3640437.0,2019-09-14,971737.0,873000.0,98737.0,2019-11-15,2019-11-15,True
image_purchases_in_history,request_04,IDR,41295886.07,2024-06-13,10609286.07,8401800.0,2207486.07,2024-06-15,2024-06-15,True
image_purchases_in_history,request_05,ZAR,8575.15,2026-02-03,0,737.0,-737.0,,,True
image_purchases_in_history,request_06,EUR,1323.82,2026-01-13,523.82,603.3,-79.48,2026-01-15,2026-01-15,True
image_purchases_in_history,request_07,INR,179237.22,2024-09-20,86237.22,87170.56,-933.34,2024-10-23,2024-10-23,True
image_purchases_in_history,request_08,EUR,1085.2,2025-02-13,285.2,284.57,0.63,,2025-04-15,False
image_purchases_in_history,request_09,EUR,841.96,2026-09-25,166.61,166.61,0.0,2026-07-04,2026-07-04,True
image_purchases_in_history,request_10,INR,188826.85,2025-03-03,0,12700.0,-12700.0,,,True
image_purchases_in_history,request_11,IDR,46460466.62,2025-05-14,12319866.62,12510645.0,-190778.38,2025-05-15,2025-07-15,False
image_purchases_in_history,request_12,ZAR,103570.23,2026-07-01,60370.23,65164.0,-4793.77,,2026-04-05,False
image_purchases_in_history,request_13,EUR,1790.78,2024-05-14,490.78,433.4,57.38,,2024-05-15,False
image_purchases_in_history,request_14,EUR,2816.29,2025-08-14,616.29,597.74,18.55,,,True
image_purchases_in_history,request_15,EUR,1205.08,2026-01-14,5.08,83.05,-77.97,,,True
image_purchases_in_history,request_16,INR,261510.89,2023-09-14,122500.0,122500.0,0.0,2023-08-12,2023-08-12,True
image_purchases_in_history,request_17,INR,406740.31,2026-03-14,240640.31,243849.58,-3209.27,2026-04-15,2026-03-15,False
image_purchases_in_history,request_18,EUR,1946.05,2026-07-14,546.05,462.0,84.05,2026-09-15,2026-09-15,True
image_purchases_in_history,request_19,INR,122822.77,2024-09-14,30022.77,28820.0,1202.77,2024-09-15,2024-09-15,True
image_purchases_in_history,request_20,INR,73351.68,2026-02-13,8851.68,5400.0,3451.68,,,True
image_purchases_in_history,request_21,USD,3473.13,2026-04-12,1574.4,1543.35,31.05,2026-04-03,2026-04-15,False
image_purchases_in_history,request_22,EUR,964.62,2024-12-14,464.62,475.46,-10.84,2025-01-15,2025-01-15,True
image_purchases_in_history,request_23,ZAR,35360.17,2025-05-14,8360.17,9152.0,-791.83,2025-07-15,2025-07-15,True
image_purchases_in_history,request_24,INR,64539.29,2026-01-13,13539.29,13420.0,119.29,,,True
image_purchases_in_history,request_25,IDR,23755183.4,2024-03-14,376083.4,1425000.0,-1048916.6,,,True
description_grouping,request_01,ZAR,50554.8,2024-03-13,25256.0,25256.0,0.0,2024-03-03,2024-03-03,True
description_grouping,request_02,IDR,49353507.26,2025-08-13,20195107.26,17229139.2,2965968.06,2025-08-15,2025-09-15,False
description_grouping,request_03,IDR,3775420.98,2019-09-14,1106720.98,873000.0,233720.98,2019-11-15,2019-11-15,True
description_grouping,request_04,IDR,45376503.03,2024-06-13,12693000.0,8401800.0,4291200.0,2024-06-04,2024-06-15,False
description_grouping,request_05,ZAR,20443.29,2026-02-02,7343.29,737.0,6606.29,,,True
description_grouping,request_06,EUR,1498.02,2026-01-13,620.4,603.3,17.1,2026-01-03,2026-01-15,False
description_grouping,request_07,INR,192051.65,2024-09-20,99051.65,87170.56,11881.09,2024-10-23,2024-10-23,True
description_grouping,request_08,EUR,1232.57,2025-02-12,432.57,284.57,148.0,2025-02-15,2025-04-15,False
description_grouping,request_09,EUR,1460.73,2026-09-12,166.61,166.61,0.0,2026-07-04,2026-07-04,True
description_grouping,request_10,INR,448942.58,2025-03-03,223542.58,12700.0,210842.58,,,True
description_grouping,request_11,IDR,50319836.47,2025-05-14,13110000.0,12510645.0,599355.0,2025-05-03,2025-07-15,False
description_grouping,request_12,ZAR,137559.56,2026-07-01,65164.0,65164.0,0.0,2026-04-05,2026-04-05,True
description_grouping,request_13,EUR,2645.56,2024-03-14,941.6,433.4,508.2,2024-03-07,2024-05-15,False
description_grouping,request_14,EUR,2972.15,2025-08-14,772.15,597.74,174.41,2025-10-15,,False
description_grouping,request_15,EUR,1429.66,2026-01-13,229.66,83.05,146.61,,,True
description_grouping,request_16,INR,329515.73,2023-09-11,122500.0,122500.0,0.0,2023-08-12,2023-08-12,True
description_grouping,request_17,INR,443650.83,2026-03-13,274600.0,243849.58,30750.42,2026-03-01,2026-03-15,False
description_grouping,request_18,EUR,2083.32,2026-07-11,683.32,462.0,221.32,2026-08-15,2026-09-15,False
description_grouping,request_19,INR,130601.92,2024-09-14,37801.92,28820.0,8981.92,2024-09-15,2024-09-15,True
description_grouping,request_20,INR,79726.88,2026-02-13,15226.88,5400.0,9826.88,,,True
description_grouping,request_21,USD,3556.76,2026-04-12,1574.4,1543.35,31.05,2026-04-03,2026-04-15,False
description_grouping,request_22,EUR,1030.9,2024-12-14,530.9,475.46,55.44,2024-12-15,2025-01-15,False
description_grouping,request_23,ZAR,38825.13,2025-05-14,11825.13,9152.0,2673.13,2025-06-15,2025-07-15,False
description_grouping,request_24,INR,71401.74,2026-01-13,20401.74,13420.0,6981.74,2026-03-15,,False
description_grouping,request_25,IDR,27616224.12,2024-03-14,4237124.12,1425000.0,2812124.12,,,True
all_variable_weekly,request_01,ZAR,46397.73,2024-04-14,25256.0,25256.0,0.0,2024-03-03,2024-03-03,True
all_variable_weekly,request_02,IDR,42206677.35,2025-08-13,13048277.35,17229139.2,-4180861.85,2025-10-15,2025-09-15,False
all_variable_weekly,request_03,IDR,3115277.44,2019-09-14,446577.44,873000.0,-426422.56,,2019-11-15,False
all_variable_weekly,request_04,IDR,41295886.07,2024-06-13,10609286.07,8401800.0,2207486.07,2024-06-15,2024-06-15,True
all_variable_weekly,request_05,ZAR,6089.11,2026-02-03,0,737.0,-737.0,,,True
all_variable_weekly,request_06,EUR,1305.72,2026-01-13,505.72,603.3,-97.58,2026-01-15,2026-01-15,True
all_variable_weekly,request_07,INR,152636.73,2024-09-20,59636.73,87170.56,-27533.83,2024-11-23,2024-10-23,False
all_variable_weekly,request_08,EUR,1055.28,2025-04-12,255.28,284.57,-29.29,,2025-04-15,False
all_variable_weekly,request_09,EUR,198.1,2026-09-26,0,166.61,-166.61,,2026-07-04,False
all_variable_weekly,request_10,INR,126962.46,2025-03-03,0,12700.0,-12700.0,,,True
all_variable_weekly,request_11,IDR,42601096.77,2025-05-14,8460496.77,12510645.0,-4050148.23,2025-05-15,2025-07-15,False
all_variable_weekly,request_12,ZAR,66178.69,2026-07-03,22978.69,65164.0,-42185.31,,2026-04-05,False
all_variable_weekly,request_13,EUR,1469.43,2024-05-14,169.43,433.4,-263.97,,2024-05-15,False
all_variable_weekly,request_14,EUR,2765.23,2025-08-14,565.23,597.74,-32.51,,,True
all_variable_weekly,request_15,EUR,1205.08,2026-01-14,5.08,83.05,-77.97,,,True
all_variable_weekly,request_16,INR,245620.22,2023-10-13,122500.0,122500.0,0.0,2023-08-12,2023-08-12,True
all_variable_weekly,request_17,INR,403345.99,2026-03-14,237245.99,243849.58,-6603.59,2026-05-15,2026-03-15,False
all_variable_weekly,request_18,EUR,1816.57,2026-07-14,416.57,462.0,-45.43,2026-09-15,2026-09-15,True
all_variable_weekly,request_19,INR,114896.02,2024-09-14,22096.02,28820.0,-6723.98,2024-09-15,2024-09-15,True
all_variable_weekly,request_20,INR,69927.89,2026-02-13,5427.89,5400.0,27.89,,,True
all_variable_weekly,request_21,USD,3181.42,2026-04-12,1381.42,1543.35,-161.93,2026-04-15,2026-04-15,True
all_variable_weekly,request_22,EUR,948.55,2024-12-14,448.55,475.46,-26.91,2025-02-15,2025-01-15,False
all_variable_weekly,request_23,ZAR,34471.73,2025-05-14,7471.73,9152.0,-1680.27,,2025-07-15,False
all_variable_weekly,request_24,INR,65898.28,2026-01-13,14898.28,13420.0,1478.28,,,True
all_variable_weekly,request_25,IDR,22556008.61,2024-03-14,0,1425000.0,-1425000.0,,,True
all_variable_fortnightly,request_01,ZAR,49465.61,2024-03-13,25256.0,25256.0,0.0,2024-03-03,2024-03-03,True
